FSP-060-001631,10,990 PIEDMONT AVE,ATLANTA,GA,30309,2015/02/19,95
FSP-060-001991,10 Degrees South,4183 ROSWELL RD,ATLANTA,GA,30342,2015/04/24,100
1-23971,187 Midtown  LLC,187 10TH ST,ATLANTA,GA,30309,2015/06/02,82
(1-13),1st Methodist Church,360 PEACHTREE ST N,ATLANTA,GA,30308,2015/02/12,87
1-31657,2 Mato,200 PIEDMONT AVE,ATLANTA,GA,30334,2015/05/04,81
2-31665,200 Peachtree,200 PEACHTREE ST,ATLANTA,GA,30303,2015/03/05,91
FSP-060-000482,22 Storys Lobby Bar,265 PEACHTREE ST NE,ATLANTA,GA,30303,2015/04/29,100
1-26637,285 West Soul Food,2636 MARTIN LUTHER KING JR. DR STE 10,ATLANTA,GA,30311,2015/04/14,88
FSP-060-001425,3109 Piedmont Estate And Gardens,3109 PIEDMONT RD,ATLANTA,GA,30305,2015/01/14,98
FSP-060-002050,360 Cafe,1747 METROPOLITAN PKWY,ATLANTA,GA,30315,2015/03/09,75
1-18914,5 Seasons Brewing,5600 ROSWELL STE 21,ATLANTA,GA,30342,2015/04/10,92
