business_id,name,address,city,state,postal_code,data,score
FSP-060-001631,10,990 PIEDMONT AVE,ATLANTA,GA,30309,2015/02/19,95
FSP-060-001991,10 Degrees South,4183 ROSWELL RD,ATLANTA,GA,30342,2015/04/24,100
1-23971,187 Midtown  LLC,187 10TH ST,ATLANTA,GA,30309,2015/06/02,82
(1-13),1st Methodist Church,360 PEACHTREE ST N,ATLANTA,GA,30308,2015/02/12,87
1-31657,2 Mato,200 PIEDMONT AVE,ATLANTA,GA,30334,2015/05/04,81
2-31665,200 Peachtree,200 PEACHTREE ST,ATLANTA,GA,30303,2015/03/05,91
FSP-060-000482,22 Storys Lobby Bar,265 PEACHTREE ST NE,ATLANTA,GA,30303,2015/04/29,100
1-26637,285 West Soul Food,2636 MARTIN LUTHER KING JR. DR STE 10,ATLANTA,GA,30311,2015/04/14,88
FSP-060-001425,3109 Piedmont Estate And Gardens,3109 PIEDMONT RD,ATLANTA,GA,30305,2015/01/14,98
FSP-060-002050,360 Cafe,1747 METROPOLITAN PKWY,ATLANTA,GA,30315,2015/03/09,75
1-18914,5 Seasons Brewing,5600 ROSWELL STE 21,ATLANTA,GA,30342,2015/04/10,92
1-18914,5 Seasons Brewing,5600 ROSWELL STE 21,ATLANTA,GA,30342,2015/04/02,76
1-29329,50 Yard Line Sport Bar,7490 OLD NATIONAL HWY STE 100,RIVERDALE,GA,30296,2015/05/21,94
1-29329,50 Yard Line Sport Bar,7490 OLD NATIONAL HWY STE 100,RIVERDALE,GA,30296,2015/05/15,79
FSP-060-002702,521 Kitchen & Que,4365 ROSWELL RD STE 4367,ATLANTA,GA,30342,2015/05/08,100
FSP-060-002474,600 Degrees Pizza,5415 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/05/07,91
FSP-060-002473,656 Sports Bar & Grille Bar,656 PRYOR ST,ATLANTA,GA,30312,2015/01/06,96
FSP-060-002472,656 Sports Bar & Grille Kitchen,656 PRYOR ST,ATLANTA,GA,30312,2015/01/06,95
