1-26373,Longhorn Steakhouse,6390 ROSWELL RD,ATLANTA,GA,30328,2015/04/06,91
FSP-060-001199,Los Mariachis,7794 ELLA LN,FAIRBURN,GA,30213,2015/05/20,90
1-30592,Louisiana Bistreaux,1375 VIRGINIA AVE,EAST  POINT,GA,30344,2015/01/15,82
1-1840,Love Hall Westminster,1424 WEST PACES FERRY RD,ATLANTA,GA,30327,2015/04/08,93
1-1841,Love T Nolan Elementary School,2725 CREEL,COLLEGE PARK,GA,30349,2015/03/11,99
1-1842,Lovett School,4075 PACES FERRY RD NW,ATLANTA,GA,30327,2015/04/14,97
1-29061,Lovett School Cafe,4075 PACES FERRY RD,ATLANTA,GA,30327,2015/04/14,91
FSP-060-002283,Lovies BBQ,3420 PIEDMONT RD STE B,ATLANTA,GA,30305,2015/03/11,100
1-20769,LTs Wings,1160 FAIRBURN RD,ATLANTA,GA,30331,2015/03/30,91
FSP-060-002002,Lunch Bunch Cafe,3535 PIEDMONT RD BLDG 14,ATLANTA,GA,30305,2015/03/16,80
FSP-060-000927,Lunch on Main Street,3569 MAIN DR,ATLANTA,GA,30337,2015/05/28,90
FSP-060-001321,Lure,1106 CRESCENT AVE NE,ATLANTA,GA,30309,2015/05/20,90
1-23826,M A Jones Elementary School,1040 FAIR ST,ATLANTA,GA,30310,2015/04/20,97
1-1869,Maggianos 75,3368 PEACHTREE RD,ATLANTA,GA,30326,2015/04/29,91
1-24050,Magic City,241 FORSYTH ST,ATLANTA,GA,30303,2015/04/08,99
1-24050,Magic City,241 FORSYTH ST,ATLANTA,GA,30303,2015/03/25,75
1-20867,Magnolia Hall,400 PARK DR,ATLANTA,GA,30306,2015/03/25,99
1-28269,Mali Restaurant,961 AMSTERDAM AVE,ATLANTA,GA,30306,2015/01/21,96
2-31456,Malibu Wings,225 PEACHTREE ST NE,ATLANTA,GA,30303,2015/02/23,86
1-31266,Mama Mias Pizzeria,225 CENTRAL AVE STE D,ATLANTA,GA,30303,2015/01/26,86
